Spectrum File,Sample #,Microplastic number (P),Resolution (cm^{-1}),Number of scans,Dimensions of ATR (um),ATR pressure (ATR only),Likely substrate,FTIR Mode,Date,Notes,
903511_P3_reflectance_4cm_128scan_LA_25um.map,903511,3,4,128,,,,reflectance,<2021-05-10 Mon>,Spectra for P3 went out of focus,
903511_P3_reflectance_4cm_16scan_LA_25um.map,903511,3,4,16,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_4cm_2scan_LA_25um.map,903511,3,4,2,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_8cm_128scan_LA_25um.map,903511,3,8,128,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_8cm_16scan_LA_25um.map,903511,3,8,16,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_8cm_2scan_LA_25um.map,903511,3,8,2,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_16cm_128scan_LA_25um.map,903511,3,16,128,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_16cm_16scan_LA_25um.map,903511,3,16,16,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_reflectance_16cm_2scan_LA_25um.map,903511,3,16,2,,,,reflectance,<2021-05-10 Mon>,,
903511_P3_ATR_4cm_128scan_30umAPT_GeATR_MCT_30.SPA,903511,3,4,128,30x30,30,Unknown,ATR,<2021-05-10 Mon>,ATR seemed to keep missing target. This was the best spectrum (least noisey) of 5 taken,
903511_P4_reflectance_4cm_128scan_LA_25um.map,903511,4,4,128,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_4cm_16scan_LA_25um.map,903511,4,4,16,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_4cm_2scan_LA_25um.map,903511,4,4,2,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_8cm_128scan_LA_25um.map,903511,4,8,128,,,,reflectrance,<2021-05-10 Mon>,Drifted out of focus,
903511_P4_reflectance_8cm_16scan_LA_25um.map,903511,4,8,16,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_8cm_2scan_LA_25um.map,903511,4,8,2,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_16cm_128scan_LA_25um.map,903511,4,16,128,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_16cm_16scan_LA_25um.map,903511,4,16,16,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_reflectance_16cm_2scan_LA_25um.map,903511,4,16,2,,,,reflectrance,<2021-05-10 Mon>,,
903511_P4_ATR_4cm_128scan_50umAPT_GeATR_MCT_10.SPA,903511,4,4,128,50x50,10,,ATR,<2021-05-10 Mon>,Meg took these spectra,
903511_P4_ATR_4cm_128scan_50umAPT_GeATR_MCT_30.SPA,903511,4,4,128,50x50,30,Polypropylene,ATR,<2021-05-10 Mon>,Meg took these spectra,
903511_P5_reflectance_4cm_128scan_LA_25um.map,903511,5,4,128,,,,reflectance,<2021-05-13 Thu>,Drifted out of focus,
903511_P5_reflectance_4cm_16scan_LA_25um.map,903511,5,4,16,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_4cm_2scan_LA_25um.map,903511,5,4,2,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_8cm_128scan_LA_25um.map,903511,5,8,128,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_8cm_16scan_LA_25um.map,903511,5,8,16,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_8cm_2scan_LA_25um.map,903511,5,8,2,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_16cm_128scan_LA_25um.map,903511,5,16,128,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_16cm_16scan_LA_25um.map,903511,5,16,16,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_reflectance_16cm_2scan_LA_25um.map,903511,5,16,2,,,,reflectance,<2021-05-13 Thu>,,
903511_P5_ATR_4cm_128scan_50umAPT_GeATR_MCT_10.SPA,903511,5,4,128,50x50,10,,ATR,<2021-05-10 Mon>,"Not good, possible miss",
